NR_VOTAVEL,DS_CARGO,DS_SIT_TOT_TURNO,RECEITA_TOTAL,QTD_VOTOS,CUSTO_VOTO,VR_TOTAL_BEM_CANDIDATO,Recursos_partido,Recursos_proprios,Recursos_outros_candidatos,Recursos_pessoas_fisicas,Rendimentos_aplicacoes,Financiamento_Coletivo,origens_nao_identificadas,Comercio_bens_ou_eventos,Doacoes_Internet,0.000000000,0.000000000,0.000000000,0,0
14123,DEPUTADO ESTADUAL,SUPLENTE,0.012988540096,0.01415793200,0.000695608,0.106598781,0.007749907,-0.000000945,0.064873658,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
28999,DEPUTADO ESTADUAL,ELEITO POR QP,0.030085570810,0.01396191674,0.001650220,0.009771922,0.019976289,0.000009543,0.124009206,0.004540903,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11000,DEPUTADO ESTADUAL,SUPLENTE,0.049011887628,0.01378519021,0.002730633,0.047885222,0.015501861,0.157000559,0.121733001,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
55655,DEPUTADO ESTADUAL,ELEITO POR MÉDIA,0.017714938992,0.01375808172,0.000980512,0.084538727,0.001296905,0.069868834,0.055755582,0.001027425,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11999,DEPUTADO ESTADUAL,SUPLENTE,0.041536255829,0.01356623700,0.002349528,0.071326602,0.015501861,-0.000000945,0.187609201,0.037821331,-0.002063099,0.062176451,-0.003025794,#DIV/0!,,,,,,
11677,DEPUTADO ESTADUAL,SUPLENTE,0.113461363486,0.01352713821,0.006458428,-0.000000031,0.015501861,0.053511086,0.771091590,0.052796194,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11444,DEPUTADO ESTADUAL,SUPLENTE,0.032342001589,0.01333685744,0.001857422,0.003567507,0.015501861,0.076937034,0.063944619,0.006173426,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
2320,DEPUTADO FEDERAL,SUPLENTE,0.010195042226,0.01314866194,0.000586457,0.015987867,0.007749907,0.009534225,0.023967032,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
20120,DEPUTADO ESTADUAL,ELEITO POR MÉDIA,0.025574194250,0.01301729001,0.001502218,0.007755487,-0.000002047,0.005737542,0.002217161,0.100706574,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
70670,DEPUTADO ESTADUAL,ELEITO POR QP,0.019582535068,0.01292241028,0.001156264,0.043420887,-0.000002047,-0.000000945,0.188687657,-0.000001775,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
25125,DEPUTADO ESTADUAL,SUPLENTE,0.119744958694,0.01282805187,0.007189187,0.014106978,0.147285077,-0.000000945,-0.000132548,0.004115025,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
11500,DEPUTADO ESTADUAL,SUPLENTE,0.032160775477,0.01257938357,0.001959174,0.012253688,-0.000002047,0.033372149,0.098779356,0.069283981,-0.002063099,-0.000198576,-0.003025794,#DIV/0!,,,,,,
