"SQ_CANDIDATO";"NM_VOTAVEL";"NR_VOTAVEL";"SITUCAO";"DS_CARGO";"CARGO_N";"SITUCAO_N";"RECEITA_TOTAL";"QTD_VOTOS";"CUSTO_VOTO";"VR_TOTAL_BEM_CANDIDATO";"Recursos_partido";"Recursos_proprios";"Recursos_outros_candidatos";"Recursos_pessoas_fisicas";"Rendimentos_aplicacoes";"Financiamento_Coletivo";"origens_nao_identificadas";"Comercio_bens_ou_eventos";"Doacoes_Internet";"DESPESA_CONTRATADA"
170000616970;ANDRÉ FELIPE COSTA CARVALHO;2320;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.00816;0.0025223;0.0003235142528644491;0.0051537166;0.005;0.00116;0.02;;;;;;;0.012768805
170000617093;NERIVALTER NASCIMENTO DE LIMA;17190;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00144375;0.0004566;0.0003161957950065703;0.001625;0.001;;0.0044375;;;;;;;0.000995
170000617336;AUGUSTO CESAR BARRETO NETO;70300;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0019435;0.0006188;0.0003140756302521008;0.002026;;0.0019435;;;;;;;;0.0019412800000000007
170000603095;ALUIZIO COELHO DOS REIS FILHO;20555;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.003751;0.0011979;0.00031313131313131316;0.00535;;0.0006;;0.003151;;;;;;0.003751
170000621409;JOAO LOPES GONÇALVES;65555;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.006116578;0.0019577;0.00031243694130867855;0.0048384;;0.0011;0.03524801;0.0014917770000000001;;;;;;0.005166578000000001
170000621405;ERIVELTE PEREIRA DA SILVA;65133;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000973;0.0003150;0.00030888888888888893;0.002;;;0.00973;;;;;;;
170000621360;WARISTON CAVALCANTI CONSTANTINO DE ALMEIDA;65640;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000435;0.0001460;0.00029794520547945206;;;;0.00235;0.0002;;;;;;
170000621375;RINALDO JOSE DE LIMA;65022;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00034;0.0001148;0.0002961672473867596;0.0008731588999999999;;;0.0014;0.0002;;;;;;
170000603135;THIAGO PATRÍCIO SIQUEIRA DE OLIVEIRA;20300;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0007;0.0002392;0.0002926421404682274;0.0021;;;;0.0007;;;;;;0.0007000000000000001
170000617031;JEFTE JONAS GOMES ARAUJO;45045;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00006688500000000001;0.0000231;0.00028954545454545455;;0.000025;0.000041885;;;;;;;;0.000040385
170000617421;JOSE NILTON BARBOSA DA SILVA;5101;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0003;0.0001044;0.00028735632183908046;0.0003;0.0003;;;;;;;;;0.0003
170000617128;NADELSON LEITE COSTA;1726;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.002;0.0006971;0.00028690288337397793;0.003;0.002;;;;;;;;;0.001833
170000621477;THEREZA CHRYSTINA ELIAS CARDOSO;13130;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000502;0.0001760;0.0002852272727272727;0.0009844209;0.0005;;;0.000002;;;;;;0.00050112
170000616974;EDIVALDO CASSIMIRO LINS FILHO;1990;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0013;0.0004593;0.0002830394077944698;0.0040928677;;0.00045;;0.00085;;;;;;0.00045
170000607395;GILDECI JOSÉ JUSTINO;50456;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000304;0.0001085;0.00028018433179723503;;0.000304;;;;;;;;;0.0002
170000607366;PAULO HENRIQUE SILVEIRA DE LIMA;50111;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000274;0.0000978;0.0002801635991820041;0.00535;0.000274;;;;;;;;;0.00015
170000617441;SAMUEL VICENTE DA SILVA ;5112;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0003;0.0001082;0.000277264325323475;0.0012;0.0003;;;;;;;;;0.0002985
170000610289;EDVAL CARLOS DE SOUSA JUNIOR;4088;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.002008409;0.0007289;0.00027553971738235696;0.0064386472;;0.001845209;0.001632;;;;;;;0.001845209
170000614133;JOSE GILSON DE LIMA;33222;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00011096300000000001;0.0000407;0.0002726363636363637;0.0000068533;;;0.0006;0.00005;;0.000009630000000000001;;;;0.000046396999999999996
170000617158;ANDRÉ ARRAES PARENTE;28128;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00044549799999999996;0.0001720;0.00025901046511627904;;;0.000395498;;;;0.0005;;;;0.00044549800000000006
170000617310;JORGE FERNANDO PINTO LAPA;9077;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.000074;0.0000305;0.00024262295081967214;0.003;;0.000074;;;;;;;;0.00007308
170000603128;ERICA CLARISSA BORBA CORDEIRO;20100;ELEITO POR QP;DEPUTADO ESTADUAL;0.7000;0.2000;0.0119734;0.0050789;0.00023574789816692592;0.000382;0.007;;0.02772;0.0022014;;;;;;0.009193351999999998
170000621493;MARCOS HERIDIJANIO MOURA BEZERRA;1333;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0015;0.0006437;0.00023302780798508622;0.0034;0.0015;;;;;;;;;0.001501355
170000617084;DAVID BATISTA SANTIAGO;1710;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.002;0.0008623;0.00023193784065870347;;0.0015;;0.005;;;;;;;0.002
170000617028;GENÁRIO ROCHA DE OLIVEIRA;45444;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0001035;0.0000448;0.00023102678571428571;;0.000025;0.0000785;;;;;;;;0.0000785
170000614166;SEVERINA EDNA GONÇALVES DA COSTA;2255;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0001;0.0000437;0.0002288329519450801;0.001;0.0001;;;;;;;;;
170000617114;ERALDO PEREIRA DA SILVA FILHO;31444;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000195;0.0000888;0.0002195945945945946;;;0.000195;;;;;;;;0.000195
170000617036;LEANDRO JOSE LIMA DA CUNHA;45275;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000025;0.0000115;0.00021739130434782607;;0.000025;;;;;;;;;
170000617068;JOSAFÁ DOS SANTOS;45158;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000025;0.0000119;0.0002100840336134454;0.002002;0.000025;;;;;;;;;
170000616987;ROSANGELA CAMILO DE LIMA;2011;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.00012;0.0000574;0.00020905923344947738;;;;;0.00012;;;;;;0.00012
170000617100;FREDERICO FERRAZ VIEIRA DE FRANÇA;1777;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.004147;0.0020078;0.0002065444765414882;0.0059842;0.0015;0.0016;;;;0.01047;;;;0.004143588
170000617089;NELSON MONTEIRO COSTA NETTO;17333;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0016062;0.0007788;0.00020624036979969182;0.000055;0.001;;0.005125;0.0000937;;;;;;0.00099592
170000607368;ALDO LIMA DA SILVA;50333;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00054;0.0002678;0.00020164301717699775;0.00007;0.00054;;;;;;;;;
170000617126;PEDRO MENDES DA SILVA FILHO;1711;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.003;0.0014964;0.00020048115477145148;0.0003;0.003;;;;;;;;;0.005491885
170000617087;AIRTON MARIANO DA SILVA;17617;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.001267;0.0006339;0.0001998737971288847;0.004;;0.001267;;;;;;;;0.001221135
170000617361;JOSEMAR DA SILVA;70500;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00012;0.0000610;0.00019672131147540983;;;;;0.00012;;;;;;
170000614129;EUNICE APARECIDA DE SOUZA ALVES DE MELO;33323;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000083873;0.0000427;0.00019642388758782202;0.0000007;;;0.0006;;;0.00023872999999999999;;;;0.00002191
170000617314;JOSÉ MARCOS BATISTA DA SILVA;9040;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.00015;0.0000777;0.00019305019305019305;0.002;;;;0.00015;;;;;;
170000614067;JOSE HAILTON DE CARVALHO E SILVA;11232;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000835;0.0004399;0.00018981586724255514;;;;;0.000835;;;;;;
170000617115;FABRIZIO DARIO DE SÁ FERRAZ;31111;ELEITO POR QP;DEPUTADO ESTADUAL;0.7000;0.2000;0.003320025;0.0017729;0.00018726521518416155;0.00000425;0.0012;;;0.002120025;;;;;;0.002790625
170000617173;JOSIAS BENEDITO LIMA DA SILVA;28765;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0001;0.0000550;0.0001818181818181818;0.00013;0.0001;;;;;;;;;
170000617164;OTAVIO DE SOUZA ANDRE;2899;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0003;0.0001672;0.00017942583732057416;;0.0003;;;;;;;;;
170000621496;DORIEL SATURNINO DE BARROS;13123;ELEITO POR QP;DEPUTADO ESTADUAL;0.7000;0.2000;0.0119725;0.0066990;0.00017872070458277355;0.004588648;0.00385;0.00495;0.000225;0.00315;;;;;;0.011799970000000002
170000617407;JAILTON BATISTA CAVALCANTI;5144;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.0014232;0.0008277;0.0001719463573758608;0.00046;;0.001306;;0.0001172;;;;;;0.001306
170000617064;SEVERINO RAMOS SALUSTIANO DOS SANTOS;45200;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000025;0.0000154;0.00016233766233766234;0.0052;0.000025;;;;;;;;;
170000617165;SAULO BARROS DE ALBUQUERQUE;2823;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.00175;0.0011142;0.00015706336384850117;0.0078394413;0.00175;;;;;;;;;0.00175
170000614122;JORGE MAURICIO DE LIMA SANTOS;3322;SUPLENTE;DEPUTADO FEDERAL;0.6000;0.5000;0.000085;0.0000543;0.0001565377532228361;0.0000000125;;0.000015;0.0006;;;0.0001;;;;0.00002475
170000617159;GILBERTO NUNES VALERIANO;28000;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.000875;0.0005679;0.00015407642190526502;;;0.000725;;0.00015;;;;;;0.000725
170000617178;NEIDE MARIA DE SANTANA;28627;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.00015;0.0000978;0.00015337423312883436;;0.00015;;;;;;;;;0.00015
170000607370;MARIA JOSELITA PEREIRA CAVALCANTI;50180;ELEITO POR QP;DEPUTADO ESTADUAL;0.7000;0.2000;0.005792573;0.0039175;0.00014786402042118698;;0.002729609;;;0.0008275639999999999;;0.022354;;;;0.005476688000000002
170000617086;AUGUSTO FONSECA VELOSO;17555;SUPLENTE;DEPUTADO ESTADUAL;0.7000;0.5000;0.0011026400000000002;0.0007459;0.00014782678643249767;0.0027094472;0.001;0.0000026399999999999997;;0.0001;;;;;;0.0010000150000000001
